Date,Tag Number,Frequency,Batch,Team,Scale Row,Scale B#,Gender,Length,Located,Comments
2024-07-12,1,500,k71016,Canyon,1,1032776,,,,
2024-07-12,2,500,k71018,Canyon,2,1032776,,,,
2024-07-15,3,500,k71006,Canyon,3,1032776,,,,
2024-07-15,4,500,k71024,Canyon,4,1032776,,,,I cannot find this in the sheets
2024-07-15,5,500,k71028,Canyon,5,1032776,,,,
2024-07-15,6,500,k71005,Canyon,6,1032776,,,,
2024-07-16,7,500,k71035,Canyon,7,1032776,,,,
2024-07-15,8,500,k71026,Canyon,8,1032776,,,,
2024-07-16,9,500,k71014,Canyon,9,1032776,,,,
2024-07-16,10,500,k71015,Canyon,10-50,1032776,,,,
2024-07-19,11,500,unkn,Seine,9-49,1032783,,,,
2024-07-15,12,500,,Seine,8-48,1032782,,,,
,13,500,unkn,Seine,10-50,1032784,,,,
2024-07-19,14,500,unkn,Seine,6-46,1032784,,,,
2024-07-22,15,500,unkn,Seine,4-44,1032784,,,,
2024-07-12,16,500,,Seine,10-50,1032782,,,,
2024-07-15,17,500,,Seine,9-49,1032782,,,,
2024-07-16,18,500,,Seine,7-47,1032782,,,,
2024-07-16,19,,,Seine,3-43,1032782,,,,cannot find envelope?
2024-07-17,20,500,,Seine,2-42,1032782,,,,Missing sheet
2024-07-17,21,500,k71048,Canyon,1-41,1032777,,,,
2024-07-17,22,500,k71050,Canyon,2-42,1032777,,,,
2024-07-17,23,500,k71009,Canyon,3-43,1032777,,,,
2024-07-17,24,500,k71040,Canyon,4-44,1032777,,,,
2024-07-17,25,500,k71042,Canyon,5-45,1032777,,,,
2024-07-17,26,500,k71039,Canyon,6-46,1032777,,,,
2024-07-17,27,500,k71041,Canyon,7-47,1032777,,,,
2024-07-18,28,500,k71008,Canyon,8-48,1032777,,,,
2024-07-18,29,500,k71051,Canyon,9-49,1032777,,,,
2024-07-18,30,500,k71027,Canyon,10-50,1032777,,,,
2024-07-18,31,500,k71004,Canyon,1-41,1032780,,,,
2024-07-18,32,500,k71047,Canyon,2-42,1032780,,,,
2024-07-18,33,500,k71025,Canyon,3-43,1032780,,,,
2024-07-18,34,500,k71012,Canyon,4-44,1032780,,,,
2024-07-18,35,500,k71004,Canyon,5-45,1032780,,,,
2024-07-18,36,500,k71021,Canyon,6-46,1032780,,,,
2024-07-18,37,500,k71030,Canyon,7-47,1032780,,,,
2024-07-18,38,500,k71013,Canyon,8-48,1032780,,,,
2024-07-18,39,500,k71023,Canyon,9-49,1032780,,,,
2024-07-18,40,500,k71022,Canyon,10-50,1032780,,,,
2024-07-19,41,500,k71037,Canyon,1-41,1032775,,,,
2024-07-19,42,500,k71036,Canyon,2-42,1032775,,,,
2024-07-19,43,500,k71020,Canyon,3-43,1032775,,,,
2024-07-19,44,500,k71038,Canyon,4-44,1032775,,,,Lost pages
2024-07-19,45,500,k71012,Canyon,5-45,1032775,,,,Lost pages
2024-07-19,46,500,k71029,Canyon,6-46,1032775,,,,Lost pages
2024-07-22,47,500,k71011,Canyon,7-47,1032775,,,,
2024-07-22,48,500,k17031,Canyon,8-48,1032775,,,,
2024-07-22,49,500,k71019,Canyon,9-49,1032775,,,,
2024-07-22,50,500,k71070,Canyon,10-50,1032775,,,,
2024-07-22,51,500,unkn,Seine,3-43,1032784,,,,
2024-07-22,52,500,unkn,Seine,2-42,1032784,,,,
2024-07-22,53,500,unkn,Seine,1-41,1032784,,,,
2024-07-22,54,500,unkn,Seine,10-50,1032785,,,,
2024-07-22,55,500,unkn,Seine,9-49,1032785,,,,
2024-07-23,56,500,unkn,Seine,8-48,1032785,,,,
2024-07-23,57,500,unkn,Seine,7-47,1032785,,,,
2024-07-23,58,500,unkn,Seine,6-46,1032785,,,,
2024-07-23,59,500,unkn,Seine,5-45,1032785,,,,
2024-07-23,60,500,unkn,Seine,4-44,1032785,,,,
2024-07-22,61,500,k6n080,Canyon,1-41,1032779,,,,
2024-07-22,62,500,k6n097,Canyon,2-42,1032779,,,,
2024-07-22,63,500,k6n062,Canyon,3-43,1032779,,,,
2024-07-22,64,500,k6n047,Canyon,4-44,1032779,,,,
2024-07-22,65,500,k6n077,Canyon,5-45,1032779,,,,
2024-07-22,66,500,k6n079,Canyon,6-46,1032779,,,,
2024-07-23,67,500,k6n069,Canyon,7-47,1032779,,,,
2024-07-23,68,500,k6n060,Canyon,8-48,1032779,,,,
2024-07-23,69,500,k6n063,Canyon,9-49,1032779,,,,
2024-07-23,70,500,k6n054,Canyon,10-50,1032779,,,,
2024-07-25,71,500,unkn,Seine,8-48,1032786,M,63,,
2024-07-25,72,500,unkn,Seine,7-47,1032786,F,54,,
2024-07-25,73,500,unkn,Seine,6-46,1032786,M,60,,
2024-07-25,74,500,unkn,Seine,5-45,1032786,M,57,,
2024-07-25,75,500,unkn,Seine,4-44,1032786,F,60,,
2024-07-23,76,500,unkn,Seine,3-43,1032785,,,,
2024-07-24,77,500,unkn,Seine,2-42,1032785,M,61,,
2024-07-24,78,500,unkn,Seine,1-41,1032785,F,56,,
2024-07-24,79,500,unkn,Seine,10-50,1032786,F,53,,
2024-07-24,80,500,unkn,Seine,9-49,1032786,M,62,,
2024-07-25,81,500,unkn,Seine,3-43,1032786,M,55,,
2024-07-25,82,500,unkn,Seine,2-42,1032786,F,55,,
2024-07-25,83,500,unkn,Seine,1-41,1032786,F,53,,
2024-07-25,84,500,unkn,Seine,10-50,1032787,,51,,
2024-07-25,85,500,unkn,Seine,9-49,1032787,F,60,,
2024-07-25,86,500,unkn,Seine,8-48,1032787,F,61,,
2024-07-25,87,500,unkn,Seine,7-47,1032787,F,53,,
2024-07-29,88,unkn,unkn,Seine,6-46,1032787,M,60,,lost sample
2024-07-30,89,500,unkn,Seine,5-45,1032789,M,64,,
2024-07-23,91,500,k6n071,Canyon,1-41,1032781,M,59,,
2024-07-23,92,500,k6n095,Canyon,2-42,1032781,M,60,,
2024-07-23,93,500,K6N065,Canyon,3-43,1032781,,,,Lost sample
2024-07-23,94,500,k6n051,Canyon,4-44,1032781,F,61,,
2024-07-24,95,500,k6n064,Canyon,5-45,1032781,F,57,,
2024-07-24,96,500,k6n049,Canyon,6-46,1032781,F,52,,
2024-07-24,97,500,k6n076,Canyon,7-47,1032781,F,59,,
2024-07-24,98,500,k6n083,Canyon,8-48,1032781,M,54,,
2024-07-25,99,500,k6n057,Canyon,9-49,1032781,M,62,,
2024-07-25,100,500,l5t086,Canyon,10-50,1032781,M,65,,
2024-07-25,101,320,l5t097,Canyon,1-41,76966,M,54,,
2024-07-25,102,320,l5t079,Canyon,2-42,76966,F,64,,
2024-07-26,103,320,l5t088,Canyon,3-43,76996,F,49,,
2024-07-29,104,320,L5T083,Canyon,4-44,76966,F,53,,
2024-07-29,105,320,L5T082,Canyon,5-45,76966,F,56,,
2024-07-30,110,320,L5T075,Canyon,10-50,76966,F,54,,
2024-07-31,111,320,L5T 081,Canyon,1-41,1046978,M,56,,
2024-07-31,112,320,l5t062,Canyon,2-42,1046978,M,62,,
2024-07-31,113,320,L5T 054,Canyon,3-43,1046978,M,57,,
2024-07-31,114,320,L5T 080,Canyon,4-44,1046978,F,55,,
2024-07-31,133,500,unkn,Seine,10-50,1032788,M,55,,
2024-07-31,134,500,unkn,Seine,9-49,1032788,F,58,,
2024-08-01,139,500,unkn,Seine,5-45,1032788,F,51,,
2024-08-01,140,500,unkn,Seine,4-44,1032788,F,55,,
2024-08-01,115,320,L5T 058,Canyon,5-45,1046978,F,54,,
2024-08-01,116,320,L5T 061,Canyon,6-46,1046978,F,52,,
2024-08-01,117,320,L5T 070,Canyon,7-47,1046978,M,60,,
2024-08-01,118,320,L5T 059,Canyon,8-48,1046978,,57,,
2024-08-01,119,320,L5T 072,Canyon,9-49,1046978,F,52,,
2024-08-01,120,320,L5T 055,Canyon,10-50,1046978,M,55,,
2024-08-01,124,520,L5T 066,Canyon,(4-44),1046976,F,56,,
2024-08-01,123,320,L5T 056,Canyon,(3-43),1046976,,,,
2024-08-01,125,320,L5T 069,Canyon,(5-45),1046976,F,58,,
2024-08-01,127,320,L5T 071,Canyon,(7-47),1046976,F,56,,
2024-08-01,130,320,L5T 091,Canyon,(10-50),1046976,F,53,,
2024-08-01,128,320,L5T 063,Canyon,(8-48),1046976,F,55,,
