date,time,serial,color,sex,forkLength,freq,code,Location,RiverKM,Comments,Modified
2021-07-21,18:00:00,5036 ,Y ,F,50,149.44,1,Tagging,0,,"Noisy, removed fixed stations"
2021-07-21,18:00:00,5035 ,Y ,F,51,149.44,2,Tagging,0,,"Noisy, removed fixed stations"
2021-07-21,18:00:00,5034 ,Y ,M,57,149.44,3,Tagging,0,,Removed Lower Bulkely > 10-04 @ 10:00
2021-07-21,18:00:00,5033 ,Y ,F,53,149.44,4,Tagging,0,,Alternating between Atna and Nanika fixed stations
2021-07-21,18:00:00,5031 ,Y ,F,55,149.44,5,Tagging,0,,Removed Lower Bulkely > 10-04 @ 10:00
2021-07-21,18:00:00,5030 ,Y ,M,55,149.44,6,Tagging,0,,
2021-07-21,18:00:00,5024 ,Y ,F,57,149.44,7,Tagging,0,,
2021-07-21,18:00:00,5023 ,Y ,M,59,149.44,8,Tagging,0,,
2021-07-21,18:00:00,5022 ,Y ,F,52,149.44,9,Tagging,0,"Also tagged: 2021-07-22, Male, 57cm, Code 9",
2021-07-22,18:00:00,5020 ,Y ,F,51,149.44,10,Tagging,0,,
2021-07-22,18:00:00,5010 ,Y ,F,58,149.44,11,Tagging,0,,
2021-07-22,18:00:00,5003 ,Y ,F,50,149.44,12,Tagging,0,,
2021-07-22,18:00:00,5054 ,Y ,F,52,149.44,13,Tagging,0,,
2021-07-22,18:00:00,5055 ,Y ,F,51,149.44,14,Tagging,0,,
2021-07-27,18:00:00,5183 ,Y ,M,58,149.44,15,Tagging,0,,"Noisy, removed fixed stations"
2021-07-27,18:00:00,5184 ,Y ,F,59,149.44,16,Tagging,0,,Removed Data > 08-23 @ 10:00
2021-07-28,18:00:00,5283 ,Y ,F,58,149.44,17,Tagging,0,,
2021-07-28,18:00:00,5284 ,Y ,M,60,149.44,18,Tagging,0,,"Noisy, removed fixed stations"
2021-07-29,18:00:00,5327 ,Y ,F,51,149.44,19,Tagging,0,,
2021-07-29,18:00:00,5328 ,Y ,M,53,149.44,20,Tagging,0,,Removed Fallback > 08-09 @ 15:00
2021-07-22,18:00:00,6833,Y,M,64,149.44,21,Tagging,0,,
2021-07-29,18:00:00,10165,Y,F,55,149.44,22,Tagging,0,,Removed Data > 09-08 @ 15:00
2021-07-26,18:00:00,6990,Y,M,56,149.44,23,Tagging,0,,
2021-07-26,18:00:00,4564,Y,F,56,149.44,25,Tagging,0,,
2021-07-26,18:00:00,6968,Y,F,52,149.44,27,Tagging,0,,
2021-07-26,18:00:00,4589,Y,F,50,149.44,28,Tagging,0,,
2021-07-22,18:00:00,6821,Y,M,61,149.44,29,Tagging,0,,Removed Data > 09-05 @ 10:00
2021-07-26,18:00:00,4590,Y,F,49,149.44,30,Tagging,0,,Alternating between Atna and Nanika fixed stations
2021-07-22,18:00:00,6832,Y,M,51,149.44,32,Tagging,0,,
2021-07-29,18:00:00,10169,Y,M,61,149.44,33,Tagging,0,,
2021-07-26,18:00:00,4565,Y,M,57,149.44,34,Tagging,0,,"Noisy, removed fixed stations"
2021-07-29,18:00:00,10151,Y,M,56,149.44,35,Tagging,0,,
2021-07-29,18:00:00,10174,Y,M,53,149.44,36,Tagging,0,,
2021-07-26,18:00:00,6969,Y,F,50,149.44,37,Tagging,0,,
2021-07-29,18:00:00,10164,Y,F,58,149.44,38,Tagging,0,,Missed at Lower Bulkley
2021-07-29,18:00:00,5344 ,Y ,F,58,149.44,41,Tagging,0,,
2021-07-29,18:00:00,5345 ,Y ,M,54,149.44,42,Tagging,0,,
2021-07-29,18:00:00,5346 ,Y ,M,58,149.44,43,Tagging,0,,
2021-07-29,18:00:00,5347 ,Y ,F,56,149.44,44,Tagging,0,,"Noisy, removed fixed stations"
2021-07-29,18:00:00,5348 ,Y ,F,55,149.44,45,Tagging,0,,
2021-07-29,18:00:00,5349 ,Y ,F,58,149.44,46,Tagging,0,,"Noisy, removed fixed stations"
2021-07-29,18:00:00,5350 ,Y ,M,55,149.44,47,Tagging,0,,"Noisy, removed fixed stations"
