date,time,status,tagColor,tagSerial,sex,forkLength,condition,tagInfo,freq,code,tagArea,comment
8/4/2022,12:50,A,Yellow,3035,F,54,Good,149 460 J85 083 (1),149.46,1,CampGround,
8/9/2022,9:30,R,Yellow,3035,F,54,Good,149 460 J85 083 (1),149.46,1,Canyon MW,
8/12/2022,9:37,A,Yellow,5679,F,53,Good,149 460 J85 074 (2),149.46,2,CampGround,
8/12/2022,9:37,A,Yellow,5678,F,53,Good,149 460 J85 081 (3),149.46,3,CampGround,
8/12/2022,9:37,A,Yellow,5676,M,57,Good,149 460 J85 095 (4),149.46,4,CampGround,
8/12/2022,9:37,A,Yellow,5677,F,55,Good,149 460 J85 100 (5),149.46,5,CampGround,
8/4/2022,12:50,A,Yellow,3034,F,52,Good,149 460 J85 084 (6),149.46,6,CampGround,
8/10/2022,14:48,A,Yellow,5669,M,54,Good,149 460 J85 075 (7),149.46,7,CampGround,
8/8/2022,10:26,A,Yellow,3049,F,53,Good,149 460 J85 102 (8),149.46,8,CampGround,
8/4/2022,9:55,A,Yellow,3029,F,54,Good,149 460 J85 088 (9),149.46,9,CampGround,
8/4/2022,9:55,A,Yellow,3030,M,62,Good,149 460 J85 088 (10),149.46,10,CampGround,
8/15/2022,9:40,A,Yellow,4039,F,52,Good,149 460  J85 073 (11),149.46,11,Canyon WP,
8/17/2022,9:37,A,Yellow,4065,F,53,Good,149 460 J85 078 (12),149.46,12,Canyon MW,
8/18/2022,9:11,A,Yellow,4085,M,65,Good,149 460 J85 086 (13),149.46,13,Canyon WP,
8/16/2022,8:16,A,Yellow,4052,M,52,Good,149 460 J85 087 (14),149.46,14,Canyon MW,
8/17/2022,10:11,A,Yellow,4066,F,57,Good,149 460 J85 063 (15),149.46,15,Canyon MW,
8/12/2022,11:00,A,Yellow,4020,M,51,Good,Radio Tag (16),149.46,16,Canyon MW,
8/12/2022,10:50,A,Yellow,4019,M,55,Torn Tail,Radio Tag (17),149.46,17,Canyon MW,
8/18/2022,8:30,A,Yellow,4084,F,56,Good,149 460 J85 066 (18),149.46,18,Canyon WP,
8/15/2022,8:44,A,Yellow,4036,F,54,Good,Radio Tag (19),149.46,19,Canyon WP,
8/16/2022,10:56,A,Yellow,4055,M,51,Good,149 460 J85 061 (20),149.46,20,Canyon MW,
8/22/2022,13:50,A,Yellow,3045,F,50,Good,149 460 J85 068 (21)           ,149.46,21,CampGround,
9/1/2022,9:10,A,Yellow,5696,F,57,Good,149 460 J85 071 (22),149.46,22,CampGround,
8/16/2022,9:00,A,Yellow,5685,F,58,Bite/Net Marks,149 460 J85 076 (23),149.46,23,CampGround,
8/22/2022,9:03,A,Yellow,5690,F,57,Good,149 460 J85 070 (24),149.46,24,CampGround,
8/22/2022,10:38,A,Yellow,5691,F,55,Bite Marks,149 460 J85 079 (25) ,149.46,25,CampGround,
8/30/2022,9:19,A,Yellow,5694,F,59,Good,149 460 J85 055 (26),149.46,26,CampGround,
8/18/2022,9:54,A,Yellow,5689,M,57,Good,149 460 J85 082 (27),149.46,27,CampGround,
8/29/2022,11:01,A,Yellow,5692,F,56,Good,149 460 J85 077 (28),149.46,28,CampGround,
8/31/2022,14:37,A,Yellow,5695,M,54,Good,149 460 J85 085 (29),149.46,29,CampGround,
9/1/2022,9:38,A,Yellow,4144,F,52,Good,149 460 J85 039 (31) RT,149.46,31,Canyon MW,
9/1/2022,9:46,A,Yellow,4145,F,57,Good,149 480 K6H 051 (32) RT,149.48,32,Canyon MW,
9/1/2022,11:40,A,Yellow,4148,F,55,Good,149 480 K6H 207(33) RT,149.48,33,Canyon MW,
9/2/2022,9:46,A,Yellow,4152,M,60,Good,149 480 K6H 004 (34) Scale 7,149.48,34,Canyon WP,Assumed frequency based on date and location
9/2/2022,11:23,A,Yellow,4153,M,59,Good,149 480 K6H 009 (35)Scale 6,149.48,35,Canyon WP,
9/2/2022,11:44,A,Yellow,4154,M,57,Good,149 480 K6H 006 (37) Scale 5,149.48,37,Canyon MW,
9/8/2022,11:20,A,Yellow,4155,F,51,Good,149 480 K6H 001 (40),149.46,40,Canyon,Assumed frequency based on date and location
9/2/2022,11:35,A,Yellow,5698,F,,Good,149 480 K6H 049 (55),149.48,55,CampGround,Assumed frequency based on date and location
9/1/2022,14:37,A,Yellow,5697,F,48,Good,149 480 K6H 020 (59),149.48,59,CampGround,
