date,time,code,radioTagID,freq,tagArea,sex,forkLength,locatedUnlocated,dateLocated,location,scaleBook,scaleRow,comments
07/05/2023,11:11,01,unknown,42,Seine,m,58,Located,06-Sep,Atna,unknown,unknown,
07/05/2023,11:11,02,unkown,42,Seine,m,62,Located,30-Aug,Cabin Crk,unknown,unknown,
07/05/2023,11:11,03,unknown,42,Seine,f,57,Located,06-Sep,Atna,unknown,unknown,
07/04/2023,23:59,04,unknown,42,Seine,f,55,,,,unknown,unknown,
07/05/2023,1:05,05,unknown,42,Seine,f,57,,,,unknown,unknown,
07/05/2023,11:11,06,unknown,42,Seine,f,55,,,,unknown,unknown,
07/05/2023,12:58,07,unknown,42,Seine,m,58,Located,06-Sep,Atna,unknown,unknown,
07/05/2023,11:11,08,unknown,42,Seine,m,57,Located,06-Sep,Atna,unknown,unknown,
07/05/2023,11:11,09,unknown,42,Seine,m,62,Located,30-Aug,Morice Lake,unknown,unknown,
07/07/2023,12:08,10,k6d009,42,Seine,m,61,Located,30-Aug,Atna lake,unknown,unknown,"cottle punch coin enevelopes no data sheets or dates, date assigned on detection"
07/04/2023,10:16,11,k6d044,42,Canyon,m,61.5,Located,06-Sep,Atna,1032797,,
07/10/2023,8:25,12,k6d034,42,Canyon,m,60,Located,06-Sep,Atna,na,na,no scales for this one
07/04/2023,10:49,13,k6d045,42,Canyon,,,,,,1032797,10.5,
07/04/2023,23:59,14,k6d 041,42,Canyon,m,60,Located,06-Sep,Atna,1032797,,
07/04/2023,10:21,15,k6d049,42,Canyon,m,64,Located,06-Sep,Atna,1032797,,
07/04/2023,23:59,16,k6d050,42,Canyon,unknown,unknown,,,,1032797,5.45,
07/04/2023,12:51,17,k6d029,42,Canyon,,,Located,06-Sep,Atna,1032797,6.46,
07/04/2023,11:16,18,k6d022,42,Canyon,f,59,Located,06-Sep,Atna,1032797,9.49,
07/04/2023,11:42,19,k6d013,42,Canyon,f,55,Located,30-Aug,Atna Lake,1032797,8.48,
07/04/2023,12:43,20,k6d014,42,Canyon,m,59,,,,1032797,7.47,
07/05/2023,9:18,21,k6h098,48,Canyon,m,59,Located,06-Sep,Atna,1032799,4.44,
07/05/2023,9:25,22,k6h097,48,Canyon,f,57,,,,1032799,3.43,
07/05/2023,10:13,23,k6h095,48,Canyon,f,58,Located,04-Sep,Atna lake,1032799,1.41,
07/05/2023,7:56,24,k6h039,48,Canyon,f,59,Located,06-Sep,Atna,1032799,9.49,
07/05/2023,8:40,25,k6h035,48,Canyon,m,61,,,,1032799,6.46,
07/05/2023,9:36,26,k6h094,48,Canyon,m,58,,,,1032799,2.42,
07/05/2023,7:51,27,k6h092,48,Canyon,m,59,Located,06-Sep,Atna,1032799,10.5,
07/05/2023,9:14,28,k6h062,48,Canyon,m,62,Located,,pyramid,1032799,5.45,
07/05/2023,8:06,29,k6h074,48,Canyon,m,61,Located,06-Sep,Atna,1032799,4.48,
07/05/2023,8:14,30,k6h010,48,Canyon,m,58,Located,06-Sep,Atna,1032799,7.47,
07/04/2023,23:59,31,unknown,48,Seine,m,60,Located,30-Aug,Atna lake,unknown,unknown,
07/08/2023,5:32,32,unknown,48,unknown,unknown,unknown,Located,06-Sep,Atna,unknown,unknown,tag date assigned on first detection
07/04/2023,23:59,33,unknown,48,Seine,f,57,,,,unknown,unknown,
07/07/2023,14:18,34,unknown,48,unknown,f,56,Located,04-Oct,Atna,unknown,unknown,date assigned based on detection
07/05/2023,9:30,36,unknown,48,Seine,m,56,,,,unknown,unknown,
07/04/2023,23:59,37,unknown,48,Seine,m,63,,,,unknown,unknown,
07/05/2023,9:30,38,unknown,48,Seine,m,64,Located,30-Aug,Above Owen Creek,unknown,unknown,
07/05/2023,9:30,39,unknown,48,Seine,m,63,Located,06-Sep,Atna,unknown,unknown,
07/05/2023,9:30,40,unknown,48,Seine,m,59,Located,06-Sep,Atna,unknown,unknown,
07/06/2023,7:55,41,k6h042,48,Canyon,m,62,,,,1032800,7.47,
07/10/2023,9:15,41,k6h031,48,Seine,m,62,,,,88104,9.49,
07/06/2023,7:41,42,k6h003,48,Canyon,m,62,,,,1032800,9.49,
07/10/2023,9:15,42,k6h099,48,Seine,m,61,,,,88104,8.48,
