Date         Time       Site   Ant   Freq     Type     Code  Power
2024-09-04   15:24:50     6     1   149.500   LOTEK    211    -74
2024-09-04   15:24:55     6     1   149.500   LOTEK    211    -73
2024-09-04   15:25:00     6     1   149.500   LOTEK    211    -72
2024-09-04   15:25:05     6     1   149.500   LOTEK    211    -73
2024-09-04   15:25:10     6     1   149.500   LOTEK    211    -73
2024-09-04   15:25:15     6     1   149.500   LOTEK    211    -73
2024-09-04   15:25:20     6     1   149.500   LOTEK    211    -77
2024-09-04   15:25:25     6     1   149.500   LOTEK    211    -83
2024-09-04   15:25:30     6     1   149.500   LOTEK    211    -81
2024-09-04   15:25:35     6     1   149.500   LOTEK    211    -62
2024-09-04   15:25:41     6     1   149.500   LOTEK    211    -77
2024-09-04   15:25:46     6     1   149.500   LOTEK    211    -72
2024-09-04   15:25:51     6     1   149.500   LOTEK    211    -77
2024-09-04   15:25:56     6     1   149.500   LOTEK    211    -76
2024-09-04   15:26:01     6     1   149.500   LOTEK    211    -76
2024-09-04   15:26:06     6     1   149.500   LOTEK    211    -67
2024-09-04   15:26:16     6     1   149.500   LOTEK    211    -72
2024-09-04   15:26:21     6     1   149.500   LOTEK    211    -76
2024-09-04   15:26:32     6     1   149.500   LOTEK    211    -68
2024-09-04   15:26:37     6     1   149.500   LOTEK    211    -68
2024-09-04   15:26:42     6     1   149.500   LOTEK    211    -74
2024-09-04   15:26:47     6     1   149.500   LOTEK    211    -74
2024-09-04   15:26:52     6     1   149.500   LOTEK    211    -77
2024-09-04   15:27:02     6     1   149.500   LOTEK    211    -84
2024-09-04   15:27:07     6     1   149.500   LOTEK    211    -88
2024-09-04   15:27:12     6     1   149.500   LOTEK    211    -91
2024-09-04   15:27:17     6     1   149.500   LOTEK    211    -91
2024-09-04   15:27:28     6     1   149.500   LOTEK    211   -105
2024-09-04   15:27:33     6     1   149.500   LOTEK    211    -98
2024-09-04   15:27:38     6     1   149.500   LOTEK    211    -98
2024-09-04   15:27:43     6     1   149.500   LOTEK    211   -100
2024-09-04   15:27:48     6     1   149.500   LOTEK    211    -99
2024-09-04   15:27:53     6     1   149.500   LOTEK    211   -100
2024-09-04   15:27:58     6     1   149.500   LOTEK    211    -98
2024-09-04   15:28:03     6     1   149.500   LOTEK    211    -93
2024-09-04   15:28:08     6     1   149.500   LOTEK    211   -107
2024-09-04   15:28:14     6     1   149.500   LOTEK    211   -106
2024-09-04   15:28:19     6     1   149.500   LOTEK    211   -104
2024-09-04   15:28:24     6     1   149.500   LOTEK    211   -105
2024-09-04   15:28:34     6     1   149.500   LOTEK    211   -105
2024-09-04   15:28:39     6     1   149.500   LOTEK    211    -92
2024-09-04   15:28:44     6     1   149.500   LOTEK    211    -99
2024-09-04   15:28:49     6     1   149.500   LOTEK    211   -102
2024-09-04   15:28:54     6     1   149.500   LOTEK    211   -104
2024-09-04   15:28:59     6     1   149.500   LOTEK    211   -106
2024-09-04   15:29:10     6     1   149.500   LOTEK    211   -105
2024-09-04   15:29:15     6     1   149.500   LOTEK    211    -99
2024-09-04   15:29:20     6     1   149.500   LOTEK    211    -96
2024-09-04   15:29:25     6     1   149.500   LOTEK    211    -97
2024-09-04   15:29:30     6     1   149.500   LOTEK    211   -104
2024-09-04   15:29:35     6     1   149.500   LOTEK    211   -101
2024-09-04   15:29:40     6     1   149.500   LOTEK    211   -100
2024-09-04   15:29:45     6     1   149.500   LOTEK    211    -94
2024-09-04   15:29:50     6     1   149.500   LOTEK    211    -95
2024-09-04   15:29:56     6     1   149.500   LOTEK    211    -95
2024-09-04   15:30:01     6     1   149.500   LOTEK    211    -90
2024-09-04   15:30:06     6     1   149.500   LOTEK    211    -87
2024-09-04   15:30:16     6     1   149.500   LOTEK    211    -95
2024-09-04   15:30:21     6     1   149.500   LOTEK    211    -87
2024-09-04   15:30:26     6     1   149.500   LOTEK    211    -88
2024-09-04   15:30:31     6     1   149.500   LOTEK    211    -88
2024-09-04   15:30:36     6     1   149.500   LOTEK    211    -81
2024-09-04   15:30:41     6     1   149.500   LOTEK    211    -80
2024-09-04   15:30:47     6     1   149.500   LOTEK    211    -96
2024-09-04   15:30:57     6     1   149.500   LOTEK    211    -98
2024-09-04   15:31:02     6     1   149.500   LOTEK    211    -94
2024-09-04   15:31:07     6     1   149.500   LOTEK    211    -92
2024-09-04   15:31:12     6     1   149.500   LOTEK    211    -93
2024-09-04   15:31:17     6     1   149.500   LOTEK    211    -95
2024-09-04   15:31:22     6     1   149.500   LOTEK    211    -96
2024-09-04   15:31:27     6     1   149.500   LOTEK    211    -95
2024-09-04   15:31:32     6     1   149.500   LOTEK    211    -95
2024-09-04   15:31:38     6     1   149.500   LOTEK    211    -95
2024-09-04   15:31:43     6     1   149.500   LOTEK    211    -98
2024-09-04   15:31:48     6     1   149.500   LOTEK    211   -101
2024-09-04   15:31:53     6     1   149.500   LOTEK    211    -92
2024-09-04   15:31:58     6     1   149.500   LOTEK    211    -94
2024-09-04   15:32:03     6     1   149.500   LOTEK    211    -98
2024-09-04   15:32:08     6     1   149.500   LOTEK    211   -100
2024-09-04   15:32:13     6     1   149.500   LOTEK    211   -101
2024-09-04   15:32:18     6     1   149.500   LOTEK    211    -97
2024-09-04   15:32:23     6     1   149.500   LOTEK    211   -112
2024-09-04   15:32:29     6     1   149.500   LOTEK    211   -110
2024-09-04   15:32:39     6     1   149.500   LOTEK    211   -106
2024-09-05   15:23:03     6     1   149.320   LOTEK    196   -112
2024-09-05   15:24:45     6     1   149.320   LOTEK    196   -107
