tagDateTime,freqCode,sex,forkLength,team
2024-07-12T00:00:00Z,149.500 001,NA,NA,Canyon
2024-07-12T00:00:00Z,149.500 002,NA,NA,Canyon
2024-07-15T00:00:00Z,149.500 003,NA,NA,Canyon
2024-07-15T00:00:00Z,149.500 004,NA,NA,Canyon
2024-07-15T00:00:00Z,149.500 005,NA,NA,Canyon
2024-07-15T00:00:00Z,149.500 006,NA,NA,Canyon
2024-07-16T00:00:00Z,149.500 007,NA,NA,Canyon
2024-07-15T00:00:00Z,149.500 008,NA,NA,Canyon
2024-07-16T00:00:00Z,149.500 009,NA,NA,Canyon
2024-07-16T00:00:00Z,149.500 010,NA,NA,Canyon
2024-07-19T00:00:00Z,149.500 011,NA,NA,Seine
2024-07-15T00:00:00Z,149.500 012,NA,NA,Seine
2024-07-12T00:00:00Z,149.500 013,NA,NA,Seine
2024-07-19T00:00:00Z,149.500 014,NA,NA,Seine
2024-07-22T00:00:00Z,149.500 015,NA,NA,Seine
2024-07-12T00:00:00Z,149.500 016,NA,NA,Seine
2024-07-15T00:00:00Z,149.500 017,NA,NA,Seine
2024-07-16T00:00:00Z,149.500 018,NA,NA,Seine
2024-07-16T00:00:00Z,149.500 019,NA,NA,Seine
2024-07-17T00:00:00Z,149.500 020,NA,NA,Seine
2024-07-17T00:00:00Z,149.500 021,NA,NA,Canyon
2024-07-17T00:00:00Z,149.500 022,NA,NA,Canyon
2024-07-17T00:00:00Z,149.500 023,NA,NA,Canyon
2024-07-17T00:00:00Z,149.500 024,NA,NA,Canyon
2024-07-17T00:00:00Z,149.500 025,NA,NA,Canyon
2024-07-17T00:00:00Z,149.500 026,NA,NA,Canyon
2024-07-17T00:00:00Z,149.500 027,NA,NA,Canyon
2024-07-18T00:00:00Z,149.500 028,NA,NA,Canyon
2024-07-18T00:00:00Z,149.500 029,NA,NA,Canyon
2024-07-18T00:00:00Z,149.500 030,NA,NA,Canyon
2024-07-18T00:00:00Z,149.500 031,NA,NA,Canyon
2024-07-18T00:00:00Z,149.500 032,NA,NA,Canyon
2024-07-18T00:00:00Z,149.500 033,NA,NA,Canyon
2024-07-18T00:00:00Z,149.500 034,NA,NA,Canyon
2024-07-18T00:00:00Z,149.500 035,NA,NA,Canyon
2024-07-18T00:00:00Z,149.500 036,NA,NA,Canyon
2024-07-18T00:00:00Z,149.500 037,NA,NA,Canyon
2024-07-18T00:00:00Z,149.500 038,NA,NA,Canyon
2024-07-18T00:00:00Z,149.500 039,NA,NA,Canyon
2024-07-18T00:00:00Z,149.500 040,NA,NA,Canyon
2024-07-19T00:00:00Z,149.500 041,NA,NA,Canyon
2024-07-19T00:00:00Z,149.500 042,NA,NA,Canyon
2024-07-19T00:00:00Z,149.500 043,NA,NA,Canyon
2024-07-19T00:00:00Z,149.500 044,NA,NA,Canyon
2024-07-19T00:00:00Z,149.500 045,NA,NA,Canyon
2024-07-19T00:00:00Z,149.500 046,NA,NA,Canyon
2024-07-22T00:00:00Z,149.500 047,NA,NA,Canyon
2024-07-22T00:00:00Z,149.500 048,NA,NA,Canyon
2024-07-22T00:00:00Z,149.500 049,NA,NA,Canyon
2024-07-22T00:00:00Z,149.500 050,NA,NA,Canyon
2024-07-22T00:00:00Z,149.500 051,NA,NA,Seine
2024-07-22T00:00:00Z,149.500 052,NA,NA,Seine
2024-07-22T00:00:00Z,149.500 053,NA,NA,Seine
2024-07-22T00:00:00Z,149.500 054,NA,NA,Seine
2024-07-22T00:00:00Z,149.500 055,NA,NA,Seine
2024-07-23T00:00:00Z,149.500 056,NA,NA,Seine
2024-07-23T00:00:00Z,149.500 057,NA,NA,Seine
2024-07-23T00:00:00Z,149.500 058,NA,NA,Seine
2024-07-23T00:00:00Z,149.500 059,NA,NA,Seine
2024-07-23T00:00:00Z,149.500 060,NA,NA,Seine
2024-07-22T00:00:00Z,149.500 061,NA,NA,Canyon
2024-07-22T00:00:00Z,149.500 062,NA,NA,Canyon
2024-07-22T00:00:00Z,149.500 063,NA,NA,Canyon
2024-07-22T00:00:00Z,149.500 064,NA,NA,Canyon
2024-07-22T00:00:00Z,149.500 065,NA,NA,Canyon
2024-07-22T00:00:00Z,149.500 066,NA,NA,Canyon
2024-07-23T00:00:00Z,149.500 067,NA,NA,Canyon
2024-07-23T00:00:00Z,149.500 068,NA,NA,Canyon
2024-07-23T00:00:00Z,149.500 069,NA,NA,Canyon
2024-07-23T00:00:00Z,149.500 070,NA,NA,Canyon
2024-07-25T00:00:00Z,149.500 071,M,63,Seine
