"","freqCode","unique_freqCode","earliestDate"
"1","149.320 127",1,2024-08-08 15:09:02
"2","149.320 146",1,2024-08-24 10:10:14
"3","149.340 001",1,2024-08-20 16:50:05
"4","149.340 002",1,2024-08-12 10:16:37
"5","149.340 003",1,2024-08-25 04:04:52
"6","149.340 004",1,2024-08-25 21:06:38
"7","149.340 006",1,2024-09-08 14:00:45
"8","149.340 008",1,2024-09-01 01:31:49
"9","149.500 001",1,2024-07-26 06:05:53
"10","149.500 002",1,2024-08-27 10:01:11
"11","149.500 018",1,2024-09-07 05:53:15
"12","149.500 034",1,2024-10-19 08:00:29
"13","149.500 044",1,2024-09-27 06:01:33
"14","149.500 071",1,2024-07-26 06:57:57
"15","149.500 100",1,2024-07-25 00:02:57
